Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic Mass (amu),Electron Configuration,Common Isotopes,State at 25°C,Melting Point (°C),Melting Point (°F),Melting Point (K),Boiling Point (°C),Density (g/cm³),Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,"Ionization Energy (e.g., eV)",Valency,Oxidation States,Atomic Radius (pm),Electronegativity Value,Ionization Energy Value,Metallic Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds
Na,Sodium,1807,11,22.99,[Ne] 3s¹,Na-23,Solid,97.8,208.04,370.95,883,0.968,Silvery-white,High,Soft (knife-cut),High,0.93,5.139,1,1,186,0.93,5.139,Alkali metal,Unknown,Stable,Unknown,Paramagnetic,+1.6×10⁻⁵ cm³/mol,Yellow flame (589 nm),589.0/589.6 nm (D lines),"Nerve impulses, fluids",Highly soluble; bioessential,Unknown,P6_3/mmc,73.87639201807406,"['NaMg7', 'NaHg3', 'NaSc3', 'NaEu3', 'NaTb3', 'NaMg15', 'NaDy3', 'NaGa', 'NaNd3', 'NaSn2', 'NaTm', 'NaBr', 'NaB', 'NaMo3', 'NaBi3', 'NaTc3', 'NaI', 'NaO2', 'NaAu2', 'NaPd3', 'NaPu', 'NaNi3', 'NaTl', 'NaRu3', 'NaP5', 'NaIn3', 'NaMg3', 'NaLa', 'Rb3Na', 'NaLi3', 'NaP7', 'Ba3Na', 'NaSi6', 'NaGa4', 'NaZn13', 'NaCu3', 'NaCe3', 'Na', 'NaPr3', 'NaGd3', 'NaCa3', 'K3Na', 'NaAg2', 'NaO3', 'NaIn2', 'NaN3', 'NaCo3', 'NaAg3', 'NaIn', 'NaCd3', 'NaC64', 'NaHo3', 'NaSn', 'NaAl3', 'NaCu', 'NaPb', 'NaNb3', 'NaYb3', 'NaSe2', 'NaSe', 'NaAs2', 'NaS2', 'NaLa3', 'NaTa3', 'NaTm3', 'NaC', 'NaSi68', 'NaSi34', 'NaSn3', 'NaZn3', 'NaC2', 'NaS', 'NaGa3', 'NaPm3', 'NaN', 'NaO8', 'NaTl3', 'NaTl2', 'BaNa', 'NaAc3', 'NaTe3', 'NaAu3', 'NaY3', 'NaNp3', 'NaCl7', 'NaCl3', 'NaF3', 'NaPb3', 'NaPt', 'NaTe', 'NaP', 'NaAs', 'NaHg', 'NaSr3', 'NaSn5', 'NaHg2', 'NaPt2', 'NaSi', 'NaMg149', 'NaP15', 'NaMg', 'NaEr3', 'NaSb', 'NaRe3', 'NaO5', 'NaAc', 'NaTi3', 'NaLu3', 'NaGe', 'NaCl', 'NaF', 'NaBi', 'NaH']"
Mg,Magnesium,1755,12,24.305,[Ne] 3s²,Mg-24;Mg-25,Solid,650,1202,923.15,1090,1.738,Silvery-white,High,Malleable/ductile,Moderate,1.31,7.646,2,2,160,1.31,7.646,Alkaline earth,Unknown,Stable,Unknown,Paramagnetic,+1.2×10⁻⁵ cm³/mol,Green flame lines,518.4 nm,"Bones, chlorophyll",Soluble salts; hard water,Unknown,P6_3/mmc,44.79899633535127,"['MgTi2', 'Pr2Mg', 'MgF2', 'MgPb', 'La2Mg', 'MgCl2', 'MgO', 'Yb2Mg', 'Ca2Mg', 'MgTi', 'CeMg', 'CaMg', 'MgSn2', 'MgPt2', 'Sr5Mg', 'MgNb2', 'LiMg', 'Mg', 'MgIn', 'MgAu2', 'MgSc2', 'Eu2Mg', 'Sm2Mg', 'MgBi2', 'MgSb', 'Rb2Mg', 'MgSn', 'MgHg2', 'Nd2Mg', 'MgCd', 'Ce2Mg', 'MgSb2', 'MgNi', 'MgZn', 'MgCd2', 'MgGa2', 'MgPb2', 'YMg', 'MgGa', 'Sr2Mg', 'MgBi', 'Pm2Mg', 'MgZn5', 'MgAl', 'SrMg', 'MgIn2', 'Y2Mg', 'MgGe2', 'MgSi', 'Ac2Mg', 'MgAg2', 'MgO2', 'Li2Mg', 'MgSi2', 'MgGe', 'MgZn2']"
Al,Aluminum,1825,13,26.982,[Ne] 3s²3p¹,Al-27,Solid,660.32,1220.576,933.47,2519,2.7,Silvery-white,High,Ductile/malleable,Moderate,1.61,5.986,3,3,143,1.61,5.986,Post-transition metal,Unknown,Stable,Unknown,Paramagnetic,+1.65×10⁻⁵ cm³/mol,Blue-white arc lines,396.1 nm,None (toxic in excess),Bauxite ore; recyclable,Unknown,Fm-3m,16.471717630914863,"['CeAl', 'AlPd3', 'RbAl', 'AlNi2', 'AlI3', 'AlFe2', 'Nd3Al', 'PrAl', 'AlSi', 'Hf2Al', 'AlRe', 'La3Al', 'AlH3', 'SrAl', 'AlCu3', 'AlF3', 'Ta2Al', 'YAl', 'AlRu', 'AlAs', 'K3Al', 'AlCo', 'AlNi3', 'MgAl', 'ScAl', 'AlB2', 'AlNi', 'Y3Al', 'AlIr', 'Mg149Al', 'AlMo3', 'AlO3', 'AlP', 'Pu3Al', 'AlTc3', 'AlAu', 'AlRh', 'Th2Al', 'Pm3Al', 'Ti3Al', 'AlCd3', 'Al', 'AlCo3', 'Sm3Al', 'Sc3Al', 'AlRh3', 'Gd3Al', 'DyAl', 'AlAg3', 'Dy3Al', 'AlAu4', 'TbAl', 'NdAl', 'AlOs', 'AlGe3', 'AlGa3', 'Pa3Al', 'AlTc2', 'Sr2Al', 'Ti2Al', 'Lu3Al', 'AlBi3', 'Ce3Al', 'Pr3Al', 'TiAl', 'AlH6', 'Hf3Al', 'AlPt', 'AlCu', 'AlPd', 'AlAu3', 'Tb3Al', 'AlC3', 'Mg15Al', 'AlCl3', 'AlAu2', 'Nb2Al', 'AlFe', 'GdAl', 'AlO', 'Mg3Al', 'LiAl', 'AlBr3', 'Zr3Al', 'Mg7Al', 'AlSn', 'Zr2Al', 'Tm3Al', 'SmAl', 'AlRe2', 'AlCo4', 'Li3Al', 'Sc2Al', 'AlSb', 'AlAg4', 'AlV3', 'Np3Al', 'MnAl', 'AlCu4', 'AlN', 'AlBi', 'Nb3Al', 'Yb3Al', 'AlPb3', 'AlPt3', 'AlAg', 'Rb3Al', 'AlCr2', 'AlFe3', 'AlC6']"
Si,Silicon,1823,14,28.085,[Ne] 3s²3p²,Si-28;Si-29,Solid,1414,2577.2,1687.15,3265,2.329,Gray metallic luster,Moderate (semiconductor),Hard/brittle,Low,1.9,8.152,4,+4;-4,117,1.9,8.152,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-3.6×10⁻⁶ cm³/mol,Violet flame lines,251.6 nm,Plant structure (silica),Insoluble; sand/quartz,"Amorphous, crystalline (diamond cubic)",P1,1918.192245426189,"['SiAs', 'Tl3Si', 'SiC3', 'Be3Si', 'Fe3Si', 'SiH8', 'Lu3Si', 'Mg2Si', 'SiGe3', 'SiS4', 'Mn3Si', 'SiBr3', 'SiPt2', 'SiC2', 'SiRh', 'SiO2', 'Zn3Si', 'Cu3Si', 'SiRh3', 'Si', 'SiH2', 'U3Si', 'SiHg3', 'SiAs3', 'MgSi', 'SiPt3', 'SiO4', 'SiS2', 'Fe2Si', 'Rb3Si', 'SiPb3', 'BaSi', 'SiSe2']"
P,Phosphorus,1669,15,30.974,[Ne] 3s²3p³,P-31,Solid,44.15,111.5,317.3,280.5 (white),1.823 (white); 2.34 (red),White (waxy); red (powder),Low,Brittle,High (white),2.19,10.487,"3,5",+5;+3;-3,110,2.19,10.487,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-1.1×10⁻⁵ cm³/mol,Green glow (chemilum.),253.6 nm,"Bones, DNA, ATP",Phosphates cycle; eutrophication,"White, red, black, violet",P2/c,1935.1232668474006,"['PO2', 'NiP', 'PCl3', 'Li3P', 'KP', 'Fe2P', 'PPt3', 'PH3', 'EuP', 'CoP', 'VP', 'Zn2P', 'PPb3', 'SrP', 'Mg149P', 'Yb3P', 'TlP', 'UP', 'NdP', 'Mn2P', 'GaP', 'FeP', 'PO4', 'B13P', 'B6P', 'Np3P', 'Cu3P', 'PW', 'Al3P', 'NbP', 'Zn3P', 'AlP', 'ZnP', 'PBr3', 'PW3', 'AsP', 'Sn3P', 'TiP', 'PPd6', 'InP', 'TaP', 'CrP', 'Mg2P', 'MgP', 'GdP', 'ErP', 'LiP', 'PBr7', 'CaP', 'Tm3P', 'Bi3P', 'PRh2', 'Ag3P', 'PPb', 'Co2P', 'Ni2P', 'K3P', 'PN2', 'CeP', 'PO3', 'TbP', 'Eu3P', 'Ti2P', 'PuP', 'Ho3P', 'Si3P', 'PCl5', 'YP', 'Ga3P', 'Hf2P', 'Re2P', 'SmP', 'Rb3P', 'Mo3P', 'PSe', 'PBr5', 'Ge3P', 'LaP', 'PRu2', 'Na3P', 'Er3P', 'ScP', 'PPd4', 'HoP', 'V2P', 'Nb2P', 'PAu3', 'DyP', 'PIr2', 'PI3', 'Cr2P', 'SiP', 'Y3P', 'PI2', 'Fe4P', 'Rb2P', 'PS', 'PPt', 'Hg3P', 'NaP', 'HfP', 'RbP', 'PBr2', 'PPd3', 'Mo12P', 'MnP', 'NpP', 'Cd3P', 'Sr3P', 'Sc3P', 'P', 'TmP', 'ZrP', 'MoP', 'PBr', 'LuP', 'SnP', 'PF5', 'Ta2P', 'Ta3P', 'Cd2P', 'ThP', 'PRu', 'GeP', 'PrP', 'BP']"
S,Sulfur,Ancient,16,32.06,[Ne] 3s²3p⁴,S-32;S-34,Solid,115.21,239.38,388.36,444.61,2.07 (rhombic),Yellow crystals,Low,Brittle,Moderate,2.58,10.36,"2,4,6",+6;+4;-2,104,2.58,10.36,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-6.2×10⁻⁶ cm³/mol,Blue flame (SO₂),265.0 nm,Proteins (cysteine),Acid rain (SO₂); volcanic,"Rhombic, monoclinic, plastic, cyclo-S₈",P2/c,899.2042490263103,"['PS', 'Cd2S', 'SO5', 'SmS', 'Li2S', 'LiS', 'As2S', 'BiS', 'H3S', 'FeS', 'HoS', 'SO6', 'AsS', 'PtS', 'Ni3S', 'Bi2S', 'CuS', 'S', 'SN', 'ZrS', 'Cu2S', 'CdS', 'RbS', 'SO4', 'CoS', 'TlS', 'SBr3', 'Pd4S', 'InS', 'P2S', 'CS', 'YS', 'NaS', 'ZnS', 'Ni2S', 'SO3', 'KS', 'PbS', 'PmS', 'SF4', 'HgS', 'Tl2S', 'H2S', 'SF6', 'V3S', 'LaS', 'Th3S', 'Tl3S', 'CeS', 'Ta6S', 'EuS', 'Ag2S']"
Cl,Chlorine,1774,17,35.45,[Ne] 3s²3p⁵,Cl-35;Cl-37,Gas,-101.5,-150.7,171.65,-34.04,0.003214,Yellow-green gas,Low,Unknown,High,3.16,12.968,1,-1;+1;+5;+7,99,3.16,12.968,Halogen,Unknown,Stable,Unknown,Diamagnetic,-4.0×10⁻⁸ cm³/mol,Greenish-yellow,134.2 nm,Disinfectant; HCl,Volatile; forms HCl,Diatomic (Cl₂),Cmce,112.86115751096179,"['GdClO', 'Mg149Cl', 'Na2Cl', 'BrCl', 'Sb4ClO6', 'Ce3Cl', 'ClO3', 'Pr3Cl', 'H7ClO3', 'ClF5', 'Au3Cl', 'NdClO2', 'YCCl', 'SrClF', 'CaClF', 'LiCl', 'In5Se5Cl', 'AgClO2', 'HCl', 'ThNCl', 'NaClO3', 'CuClO2', 'TeRhCl', 'In3Cl', 'Ru3Cl', 'YClO2', 'ScCl', 'PuClO', 'TbCl', 'BaN3Cl', 'C3NCl', 'HgCl', 'CuCl', 'SCl', 'SmClO', 'Na3Cl', 'Nd3Cl', 'N2Cl', 'H5ClO6', 'Mg16Al12Cl', 'SnCl', 'C16Cl', 'Cs2BrCl', 'LaCl', 'YCl', 'ClO5', 'N3Cl', 'PrTeCl', 'ClF', 'Eu2PCl', 'CaHCl', 'U3Cl', 'S3Cl', 'AuCl', 'InCl', 'In5S5Cl', 'LaClO2', 'OsClF8', 'ClO2', 'RbCl', 'CsCl', 'LaClO', 'NCl', 'Hg3Cl', 'GdCl', 'CNCl', 'AuClO2', 'Ac3Cl', 'CuSCl', 'PbClF', 'Zr3Cl', 'Pt3Cl', 'SmClO2', 'CeTeCl', 'KCl', 'La3Cl', 'H3NCl', 'BiClO', 'Tl3Cl', 'BaClO3', 'PrClO', 'Cl(OF)2', 'UNCl', 'Te2Cl', 'Tl4Br3Cl', 'ClO', 'ThCl', 'NaClO4', 'N4Cl', 'Cu2ClO3', 'BCl', 'HoClO2', 'NdTeCl', 'Ba2P7Cl', 'NdClO', 'DyClO2', 'CrCl', 'Ag3Cl', 'SeCl', 'NClO2', 'BaHCl', 'KClO3', 'CeClO', 'Y2ClO2', 'ICl', 'CsClO3', 'LaTeCl', 'Bi3ClO4', 'SrHCl', 'AgCl', 'GdClO2', 'CN6Cl', 'Co3Cl', 'EuHCl', 'BaClF', 'PuCl', 'EuClO2', 'ZrCl', 'FeCl', 'Os3Cl', 'Th3Cl', 'ErClO', 'PdSCl', 'YClO', 'TlCl', 'ClO6', 'AgClO4', 'SNCl', 'CCl', 'ClF3', 'NaCl', 'TbClO2', 'NiCl', 'Cu3Cl', 'C9Cl', 'PrClO2']"
Ar,Argon,1894,18,39.948,[Ne] 3s²3p⁶,Ar-40;Ar-36,Gas,-189.35,-308.83,83.79999999999998,-185.85,0.001784,Colorless gas,Unknown,Unknown,Very low,Unknown,15.76,0,0,71,Unknown,15.76,Noble gas,Low (Ar-39),Stable (Ar-40),Ar-39: 269 years,Diamagnetic,-1.94×10⁻⁸ cm³/mol,Violet glow discharge,811.5 nm,Unknown,Inert,Monatomic,Fm-3m,38.56579000820011,['Ar']
K,Potassium,1807,19,39.098,[Ar] 4s¹,K-39;K-40,Solid,63.38,146.084,336.53,759,0.862,Silvery-white,High,Soft,High,0.82,4.341,1,1,231,0.82,4.341,Alkali metal,Low (K-40),K-40: 1.25×10⁹ years,Unknown,Paramagnetic,+2.1×10⁻⁵ cm³/mol,Violet flame (404 nm),766.5/769.9 nm,Nerve/muscle function,Highly soluble,Unknown,I4/mmm,607.1084484990222,"['KO2', 'KP', 'KSm3', 'K', 'KSb2', 'KF', 'KSn', 'KB', 'KCo', 'KLi3', 'KF3', 'KCl3', 'KB6', 'KH', 'KSb3', 'KI', 'KPm', 'KSe3', 'KCd3', 'KBi2', 'KPb2', 'KAs', 'KCu7S4', 'KLa3', 'KC10', 'KSn2', 'KNd3', 'KHg6', 'KPr3', 'KAu2', 'KEu3', 'KTl2', 'CsK', 'KTe3', 'KTe', 'KF5', 'Cs3K', 'KBr', 'KF2', 'KMg7', 'KTm', 'KSi', 'KLu', 'KPt3', 'KGa', 'KU3', 'KZn13', 'KHg', 'KTh3', 'KPt', 'KN2', 'KMg15', 'KHg2', 'KC2', 'KN3', 'KAu5', 'KS3', 'KBi', 'KAg2', 'KIn3', 'KIO3', 'KGa3', 'KBi2F7', 'KFe', 'KO3', 'KCl', 'KMg3', 'KSr3', 'KTl3', 'KGe', 'KSm', 'KSb', 'KNd', 'KS', 'KPb', 'KTl', 'KPm3', 'KH3', 'KC60', 'KC', 'KC8', 'KHg11', 'KNa2', 'KP15', 'KCd13', 'KNO3', 'KBa3', 'KCe3', 'KIn4', 'KBi3', 'KSe', 'KSn3', 'KAc3', 'KY', 'KCa3', 'KN', 'KHg3', 'KRb3', 'KPu', 'KPb3', 'KBr3', 'KYb3', 'KCN']"
Ca,Calcium,Ancient,20,40.078,[Ar] 4s²,Ca-40;Ca-44,Solid,842,1547.6,1115.15,1484,1.55,Silvery-white,High,Malleable,Moderate,1,6.113,2,2,197,1,6.113,Alkaline earth,Unknown,Stable,Unknown,Paramagnetic,+1.8×10⁻⁵ cm³/mol,Orange-red flame,422.7 nm,"Bones, signaling",Carbonates; hard water,Unknown,Fm-3m,43.36096382607296,"['CaBi3', 'CaCu5', 'CaNd3', 'CaMg3', 'Cs3Ca', 'CaZn', 'CaB2', 'CaS', 'CaO10', 'CaCl2', 'CaBr2', 'CaOs3', 'CaAu3', 'CaNi3', 'CaIn', 'CaSn3', 'CaPb', 'CaZn3', 'CaGe3', 'CaSe', 'CaHg2', 'CaGa4', 'SrCa', 'CaP3', 'CaTb3', 'CaPm3', 'CaPb3', 'CaAu5', 'CaMg5', 'CaTe', 'CaGe2', 'CaMg', 'CaSb2', 'CaN2', 'CaPt5', 'CaI2', 'CaHg11', 'BaCa', 'CaB4', 'Ca', 'CaP', 'CaF3', 'CaAl4', 'CaHg3', 'CaYb3', 'CaZn5', 'CaB6', 'CaAs3', 'CaSi2', 'CaSi3', 'CaCd2', 'CaZn2', 'CaPd', 'CaAs', 'CaNp', 'CaLa', 'CaC4', 'CaPd2', 'CaBr', 'CaH2', 'CaSm3', 'CaO2', 'CaTl', 'CaIn2', 'CaH3', 'CaPr3', 'CaI', 'CaAc3', 'Rb3Ca', 'CaF', 'CaDy3', 'CaEu3', 'Li2Ca', 'CaMg149', 'CaN', 'CaNi5', 'CaGa2', 'Na3Ca', 'CaMg2', 'K3Ca', 'CaF2', 'CaMg7', 'CaCd3', 'CaCd', 'CaMn28', 'CaC2', 'CaPt2', 'CaAg3', 'CaMg15', 'Li3Ca', 'CaHo3', 'CaCu', 'CaO', 'CaTl3', 'CaZn11', 'CaC6', 'CaHg', 'Ba3Ca', 'CaPd5', 'Sr3Ca', 'CaNi', 'CaC']"
Sc,Scandium,1879,21,44.956,[Ar] 3d¹4s²,Sc-45,Solid,1541,2805.8,1814.15,2836,2.985,Silvery-white,High,Ductile,Moderate,1.36,6.561,3,3,162,1.36,6.561,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+2.8×10⁻⁵ cm³/mol,Blue-white lines,390.8 nm,Unknown,Low solubility,Unknown,P6_3/mmc,50.02447391787033,"['ScAg', 'ScIr3', 'Sc', 'ScNi2', 'ScIn3P4', 'ScAu2', 'ScSe2', 'Ho3Sc', 'ScNi', 'ScO3', 'Tb3Sc', 'Lu3Sc', 'ScSn', 'Zr3Sc', 'ScSn3', 'Sc(NF2)3', 'ScTe3', 'ScZn3', 'K3Sc', 'ScZn12', 'ScCd7', 'ScZn2', 'ScRu3', 'TbSc', 'ScNb', 'ScIn', 'ScAl', 'ScF3', 'Sm3Sc', 'ScBe5', 'ScIn2', 'ScIr', 'ScAg2', 'Er3ScS6', 'ScBr3', 'ScCl', 'Yb3Sc', 'ScInP2', 'ScIr2', 'ScTc2', 'ScCo', 'ScFe3', 'ScZn6', 'Mg3Sc', 'ScCl3', 'ScPd', 'ScMo3O8', 'ScCo2', 'ScC2', 'ScSe', 'ScAu3', 'ScPb3', 'ScCd', 'ScCu', 'Mg2Sc', 'ZrSc', 'Hf3Sc', 'ScAg3', 'ScGa', 'ScGa2', 'Mg7Sc', 'Pm3Sc', 'ScB2', 'ScMn2', 'ScNi5', 'ScCu2', 'ScO', 'ScS', 'ScRe2', 'ScGe', 'ScC', 'ScCd3', 'ScPt', 'ScPt3', 'ScBi', 'La3Sc', 'ScTc3', 'ScAs', 'YSc', 'ScAu4', 'ScFe2', 'Mg149Sc', 'ScBe13', 'ScO2', 'ScOs2', 'Nd3Sc', 'Tm3Sc', 'ScPd3', 'ScP', 'ScRh3', 'Hf5Sc', 'Zr9ScO20', 'ScSi2', 'ThSc', 'MgSc', 'ScH3', 'ScBi3', 'Mg4Sc', 'Pu3Sc', 'ScN', 'ScZn', 'ScRu', 'Na3Sc', 'ScSb', 'ScS2', 'ScAl3', 'ScH2', 'ScBr2', 'ScGe2', 'Ce3Sc', 'ScTe', 'ScSi', 'HfSc', 'ScI3', 'ScCu3', 'Sr3Sc', 'ScB12', 'ScGa3', 'ScSb3', 'ScHO2', 'Ac3Sc', 'ScAu', 'Li3Sc', 'ScRh', 'ScHg', 'ScOs3', 'ScRu2', 'ScSn2', 'Pr3Sc', 'ScAl2', 'ScHg3', 'Mg5Sc', 'ScNi3', 'ScI2', 'ScAg4', 'ScIn3']"
Ti,Titanium,1791,22,47.867,[Ar] 3d²4s²,Ti-48;Ti-47,Solid,1668,3034.4,1941.15,3287,4.506,Silvery-gray,High,Ductile/hard,Low,1.54,6.828,4,+4;+3;+2,147,1.54,6.828,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+1.8×10⁻⁴ cm³/mol,Violet lines,399.0 nm,"Aerospace, implants",Corrosion-resistant,"α (hcp), β (bcc)",P6/mmm,51.05915967771039,"['TiBe12', 'TiAg', 'TiCr2', 'TiO', 'MgTi', 'TiIn', 'Mg3Ti', 'TiAu', 'TiOs2', 'TiIr', 'Ti', 'TiF3', 'TiS', 'TiCl2', 'TiGa3', 'TiNi', 'TiI4', 'Nd3Ti', 'TiI2', 'Ac3Ti', 'TiNi3', 'TiS3', 'TiBr3', 'TiAs3', 'TiAu2', 'TiAl2', 'TiSb2', 'UTi', 'TiP', 'Mg15Ti', 'TiPt8', 'ZrTi', 'TiF4', 'TiN', 'TiCl3', 'Yb3Ti', 'TiPd2', 'Mg5Ti', 'Sm3Ti', 'Eu3Ti', 'TiPt3', 'TiF6', 'TiS2', 'TiCd3', 'TiSe2', 'TiP3', 'U2Ti', 'TiGa2', 'TiH', 'TiAl', 'Sr3Ti', 'TiZn3', 'TiCu', 'K3Ti', 'TiH2', 'TiFe4', 'TiCo2', 'TiZn2', 'TiB2', 'Th3Ti', 'HfTi', 'TiCo3', 'TiMn2', 'TiN2', 'Mg2Ti', 'TiTe', 'TiSb3', 'TiGa', 'TiPd3', 'TiBe3', 'TiHg', 'TiCl4', 'TiSe', 'TiPb3', 'TiI', 'TiRh', 'TiPd', 'La3Ti', 'TiAs', 'TiTe2', 'TiBr2', 'TiFe2', 'PaTi', 'TiAl3', 'TiO2', 'TiSb', 'Mg149Ti', 'TiAu3', 'U3Ti', 'Mg7Ti', 'Rb3Ti', 'TiCd', 'TiBr4', 'TiSi2', 'Na3Ti', 'TiI3']"
V,Vanadium,1801,23,50.942,[Ar] 3d³4s²,V-51;V-50,Solid,1910,3470,2183.15,3407,6.11,Silvery-gray,High,Ductile,Moderate,1.63,6.746,5,+5;+4;+3;+2,134,1.63,6.746,Transition metal,Low (V-50),Stable,Unknown,Paramagnetic,+2.6×10⁻⁴ cm³/mol,Green/blue lines,411.2 nm,"Catalyst, steel alloy",Low solubility,Unknown,Im-3m,13.263780153478194,"['VCo3', 'VSb2', 'VCl3', 'VCl2', 'VP', 'VP2', 'VAs2', 'VMo', 'VCl4', 'VRu3', 'VPt8', 'VGe3', 'VS2', 'VHg3', 'K3V', 'VTe2', 'VBi2', 'MnV', 'Sc3V', 'VZn3', 'VO', 'VFe', 'VRu', 'LaV', 'VF5', 'VCl5', 'VTe', 'VH', 'VAu', 'VTc', 'VI3', 'Ac3V', 'Th3V', 'VBr3', 'VIr3', 'Al3V', 'VSb', 'VF3', 'Tm3V', 'Be2V', 'VCo4', 'Mg3V', 'VAu3', 'Ca3V', 'Mg15V', 'VO3', 'VS', 'VS4', 'VSe2', 'Yb3V', 'VCo', 'VIn3', 'VSi2', 'VPd3', 'VI', 'VPd4', 'VB2', 'VPt', 'Zr3V', 'VIr', 'VPt3', 'VI2', 'VC', 'VN', 'VRh3', 'V', 'Eu3V', 'VNi3', 'VO2', 'VGe2', 'Mg6V', 'VC3', 'PaV', 'Mg7V', 'VP4', 'Be12V', 'VSn3', 'VOs', 'VNi', 'Mg149V', 'Tl3V', 'VF2', 'VBr2', 'VSe', 'VGa', 'VRh', 'VF4']"
Cr,Chromium,1797,24,51.996,[Ar] 3d⁵4s¹,Cr-52;Cr-53,Solid,1907,3464.6,2180.15,2671,7.15,Silvery-blue,High,Hard/brittle,Low,1.66,6.767,"3,6",+3;+6;+2,128,1.66,6.767,Transition metal,Unknown,Stable,Unknown,Antiferromagnetic,+3.2×10⁻⁴ cm³/mol,Red flame (CrO),425.4 nm,"Stainless steel, plating",Hexavalent toxic,Unknown,Im-3m,26.16895772559837,"['CrIn3', 'CrN2', 'CrN', 'CrAu', 'CrRh', 'K3Cr', 'Mg149Cr', 'Ac3Cr', 'CrSe2', 'CrO', 'CrGe', 'Zn3Cr', 'CrIr3', 'CrP4', 'CrF2', 'CrRh3', 'Be2Cr', 'Nd3Cr', 'Pm3Cr', 'CrPt4', 'Tl3Cr', 'CrS', 'CrF4', 'CrCl3', 'CrPt', 'CrBi', 'CrAs', 'CrI2', 'Al3Cr', 'CrO2', 'CrGa', 'Be12Cr', 'CrBr2', 'Sr3Cr', 'Nb3Cr', 'Cr', 'CrCo3', 'CrI3', 'CrTe', 'CrRe3', 'MgCr', 'CrO3', 'Mg3Cr', 'Yb3Cr', 'CrSi2', 'CrSi', 'CrTe3', 'Pr3Cr', 'CrFe3', 'CrH', 'CrF5', 'CrRu', 'CrF6', 'Li3Cr', 'Sm3Cr', 'CrTe2', 'CrHg3', 'CrH3', 'Eu3Cr', 'CrPb2', 'CrAg3', 'CrBr3', 'CrPd', 'CrF3', 'CrIr', 'CrCl', 'CrC', 'CrPd3', 'CrS2', 'CrAs2', 'Rb3Cr', 'Th3Cr', 'CrNi', 'CrPt3', 'Mg15Cr', 'CrSb2', 'CrNi3', 'Ce3Cr', 'Na3Cr', 'CrB', 'CrCo', 'CrSe', 'CrB2', 'CrP2', 'CrSb', 'CrMo3', 'Mg7Cr']"
Mn,Manganese,1774,25,54.938,[Ar] 3d⁵4s²,Mn-55,Solid,1246,2274.8,1519.15,2061,7.21,Silvery-gray,Moderate,Brittle,Moderate,1.55,7.434,"2,3,4,7",+2;+4;+7,127,1.55,7.434,Transition metal,Low (Mn-53),Stable,Unknown,Paramagnetic,+1.7×10⁻³ cm³/mol,Pink (MnO₄⁻),403.1 nm,"Enzymes, steel",Leaches in acid,"α, β, γ, δ",I-43m,377.65780883545983,"['Zr3Mn', 'MnCo3', 'MnF2', 'MnI2', 'MnCo', 'MnO4', 'MnTe2', 'MnCd3', 'MnPt2', 'MnB2', 'MnBe2', 'MnNi', 'MnRu', 'MnH', 'MnGe', 'MnAu', 'MnPd', 'MnAl12', 'MnV', 'MnSn3', 'MnSe', 'Pu4Mn', 'Mg15Mn', 'MnF3', 'MnB4', 'MnHg3', 'MnSe2', 'LiMn', 'MnIr', 'MnAs', 'MnBi3', 'U6Mn', 'MnZn', 'MnS', 'Dy4Mn', 'MnMo3', 'MnGe2', 'MnFe3', 'MnHg', 'MnSi', 'MnGa4', 'MnTe', 'Zr4Mn', 'MnOs3', 'Ba3Mn', 'MnGe3', 'MnAu2', 'Mg3Mn', 'Mn', 'MnBe12', 'MnPt', 'MnPt3', 'Ho4Mn', 'MnAu4', 'Hf2Mn', 'MnBe3', 'MnNi3', 'Tb4Mn', 'MnF4', 'MnZn13', 'MnB', 'MnIr3', 'MnPd3', 'MnSn', 'Mg149Mn', 'MnCu3', 'MnGa', 'MnRh', 'MnBr2', 'HfMn', 'MnBi', 'MnCl2', 'MnS2', 'MnP4', 'MnSn2', 'MnZn3', 'K3Mn', 'MnO2', 'MnAl', 'MnSb4', 'Ca3Mn', 'MnRu3', 'Rb3Mn', 'MnIn3', 'MnP', 'MnTl3', 'MnSb', 'Mg7Mn', 'MnN', 'Yb3Mn', 'MnV3', 'MnO', 'Na3Mn', 'MnAu3', 'MnFe']"
